lsoa_code,lsoa_name,solar_connections,latitude,longitude,population,solar_per_1000_pop,potential_lat_score,category,priority_score
E01000006,Barking and Dagenham 016A,11.0,51.5389676927218,0.08842682672385274,1845.0,5.9620596205962055,0.6467106358646704,High potential / Low uptake (PRIORITY),0.7259420249930842
E01000008,Barking and Dagenham 015B,1.0,51.54010182250534,0.06966022047991259,1795.0,0.5571030640668524,0.6461928098997274,High potential / Low uptake (PRIORITY),1.0774227957191667
E01000009,Barking and Dagenham 016B,3.0,51.54049098570239,0.08371306739160551,1804.0,1.6629711751662972,0.6460151240555179,High potential / Low uptake (PRIORITY),1.0040612553234345
E01000011,Barking and Dagenham 016C,4.0,51.543079354145334,0.08069614551899933,1701.0,2.3515579071134627,0.6448333154071227,High potential / Low uptake (PRIORITY),0.9529142721869157
E01000012,Barking and Dagenham 015D,3.0,51.54297757031449,0.07386648869999204,2347.0,1.2782275244993608,0.6448797883162963,High potential / Low uptake (PRIORITY),1.023474286593302
E01000013,Barking and Dagenham 013A,13.0,51.54316892877442,0.14679973874647126,1871.0,6.94815606627472,0.644792417028988,High potential / Low uptake (PRIORITY),0.6515440781219989
E01000014,Barking and Dagenham 013B,12.0,51.54354503272348,0.13982314477921057,1751.0,6.853226727584238,0.644620693833666,High potential / Low uptake (PRIORITY),0.6568872183290501
E01000015,Barking and Dagenham 009A,5.0,51.54441725226357,0.15584137235017198,2418.0,2.0678246484698097,0.6442224519996681,High potential / Low uptake (PRIORITY),0.9683861674659482
E01000016,Barking and Dagenham 009B,16.0,51.54938109658112,0.15196380722971897,1851.0,8.64397622906537,0.641956038128118,Low potential / Low uptake,0.5259599452916126
E01000017,Barking and Dagenham 009C,13.0,51.54936499306953,0.14613859769831414,1722.0,7.549361207897793,0.6419633907402701,Low potential / Low uptake,0.597714824506699
E01000018,Barking and Dagenham 009D,8.0,51.546514588031265,0.15206077171648424,1776.0,4.504504504504505,0.6432648412099035,High potential / Low uptake (PRIORITY),0.8038513381367259
E01000019,Barking and Dagenham 023A,9.0,51.55820568808612,0.12049291822290979,1657.0,5.431502715751358,0.6379268673245592,Low potential / Low uptake,0.7158710461778175
E01000020,Barking and Dagenham 023B,7.0,51.55630744250565,0.12472432245325969,2191.0,3.1948881789137378,0.6387935766409604,Low potential / Low uptake,0.8668339699299228
E01000021,Barking and Dagenham 008A,14.0,51.554444812528885,0.11602738327868267,1693.0,8.269344359125812,0.6396440244283689,Low potential / Low uptake,0.5387047282425813
E01000022,Barking and Dagenham 008B,7.0,51.554044850195766,0.12111626499580465,1477.0,4.739336492890995,0.6398266409896246,Low potential / Low uptake,0.7709170309976964
E01000024,Barking and Dagenham 008D,8.0,51.55120387865684,0.12074176877705038,1485.0,5.3872053872053876,0.6411237842706352,Low potential / Low uptake,0.735090334883827
E01000025,Barking and Dagenham 008E,10.0,51.54939601415493,0.11791070040294067,1920.0,5.208333333333333,0.6419492269966554,Low potential / Low uptake,0.7510227772324012
E01000027,Barking and Dagenham 001A,12.0,51.59087329580284,0.14190977978371075,2082.0,5.763688760806916,0.6230113473075948,Low potential / Low uptake,0.6179782477184367
